135,100,121,2022-09-21 1:13:59 PM +00:00,,,,,
146,104,122,2022-09-21 1:13:59 PM +00:00,,,,,
126,109,130,2022-09-21 1:13:59 PM +00:00,,,,,
129,107,128,2022-09-21 1:13:59 PM +00:00,,,,,
139,103,123,2022-09-21 1:14:00 PM +00:00,,,,,
133,105,124,2022-09-21 1:14:00 PM +00:00,,,,,
128,105,125,2022-09-21 1:14:00 PM +00:00,,,,,
127,104,126,2022-09-21 1:14:00 PM +00:00,,,,,
130,103,125,2022-09-21 1:14:00 PM +00:00,,,,,
129,104,124,2022-09-21 1:14:00 PM +00:00,,,,,
129,102,125,2022-09-21 1:14:00 PM +00:00,,,,,
128,103,125,2022-09-21 1:14:00 PM +00:00,,,,,
128,103,124,2022-09-21 1:14:00 PM +00:00,,,,,
128,101,124,2022-09-21 1:14:00 PM +00:00,,,,,
129,100,124,2022-09-21 1:14:00 PM +00:00,,,,,
128,101,125,2022-09-21 1:14:00 PM +00:00,,,,,
126,102,125,2022-09-21 1:14:00 PM +00:00,,,,,
126,101,125,2022-09-21 1:14:00 PM +00:00,,,,,
126,102,125,2022-09-21 1:14:00 PM +00:00,,,,,
126,101,124,2022-09-21 1:14:00 PM +00:00,,,,,
128,102,125,2022-09-21 1:14:00 PM +00:00,,,,,
128,101,124,2022-09-21 1:14:00 PM +00:00,,,,,
128,101,124,2022-09-21 1:14:00 PM +00:00,,,,,
128,102,124,2022-09-21 1:14:00 PM +00:00,,,,,
128,102,123,2022-09-21 1:14:00 PM +00:00,,,,,
128,101,125,2022-09-21 1:14:00 PM +00:00,,,,,
128,101,125,2022-09-21 1:14:00 PM +00:00,,,,,
128,102,123,2022-09-21 1:14:00 PM +00:00,,,,,
129,101,124,2022-09-21 1:14:01 PM +00:00,,,,,
126,101,122,2022-09-21 1:14:01 PM +00:00,,,,,
125,102,122,2022-09-21 1:14:01 PM +00:00,,,,,
126,102,123,2022-09-21 1:14:01 PM +00:00,,,,,
125,101,122,2022-09-21 1:14:01 PM +00:00,,,,,
127,101,121,2022-09-21 1:14:01 PM +00:00,,,,,
127,102,122,2022-09-21 1:14:01 PM +00:00,,,,,
126,102,123,2022-09-21 1:14:01 PM +00:00,,,,,
126,102,123,2022-09-21 1:14:01 PM +00:00,,,,,
127,101,122,2022-09-21 1:14:01 PM +00:00,,,,,
127,102,122,2022-09-21 1:14:01 PM +00:00,,,,,
127,101,122,2022-09-21 1:14:01 PM +00:00,,,,,
127,102,122,2022-09-21 1:14:01 PM +00:00,,,,,
126,102,122,2022-09-21 1:14:01 PM +00:00,,,,,
127,102,123,2022-09-21 1:14:01 PM +00:00,,,,,
127,102,123,2022-09-21 1:14:01 PM +00:00,,,,,
127,102,123,2022-09-21 1:14:01 PM +00:00,,,,,
127,102,123,2022-09-21 1:14:01 PM +00:00,,,,,
126,102,123,2022-09-21 1:14:01 PM +00:00,,,,,
127,101,123,2022-09-21 1:14:01 PM +00:00,,,,,
128,102,123,2022-09-21 1:14:01 PM +00:00,,,,,
127,102,123,2022-09-21 1:14:01 PM +00:00,,,,,
126,102,123,2022-09-21 1:14:01 PM +00:00,,,,,
126,101,122,2022-09-21 1:14:01 PM +00:00,,,,,
123,99,120,2022-09-21 1:14:01 PM +00:00,,,,,
108,92,127,2022-09-21 1:14:02 PM +00:00,,,,,
44,99,143,2022-09-21 1:14:02 PM +00:00,,,,,
37,136,140,2022-09-21 1:14:02 PM +00:00,,,,,
178,148,114,2022-09-21 1:14:02 PM +00:00,,,,,
234,57,111,2022-09-21 1:14:02 PM +00:00,,,,,
139,120,127,2022-09-21 1:14:02 PM +00:00,,,,,
122,118,128,2022-09-21 1:14:02 PM +00:00,,,,,
140,102,126,2022-09-21 1:14:02 PM +00:00,,,,,
134,102,131,2022-09-21 1:14:02 PM +00:00,,,,,
131,106,127,2022-09-21 1:14:02 PM +00:00,,,,,
133,103,124,2022-09-21 1:14:02 PM +00:00,,,,,
132,100,129,2022-09-21 1:14:02 PM +00:00,,,,,
131,101,126,2022-09-21 1:14:02 PM +00:00,,,,,
131,102,127,2022-09-21 1:14:02 PM +00:00,,,,,
133,102,127,2022-09-21 1:14:02 PM +00:00,,,,,
